game_link,name,price,genres,features,developer,publisher,release date,platform,os version,memory,storage,directx,gpu,languages,Critics Recommend,Top Critic Average,OpenCritic Rating
Ashwalkers₹279,Ashwalkers,₹279,IndieSurvivalAdventure,Single Player,DeveloperNameless XIII,PublisherDear Villagers,Release Date04/15/21,PlatformWindowsWindows,Windows 7+,2GB,8,9.0c,null,null,30%,64,Weak
NecroLand: Undead Corps₹239,NecroLand: Undead Corps,₹239,Action,Co-opMultiplayerCompetitiveSingle Player,DeveloperJANUS LABS,"PublisherNicalis, Inc.",Release Date06/30/21,PlatformWindowsWindowsMac OSMac OS,Windows Vista,256MB Video Memory,11,2 GB,500 MB,null,null,null,null
Ageless₹458,Ageless,₹458,ActionAdventurePlatformer,null,DeveloperOne More Dream Studios,PublisherTeam17 Digital Ltd.,Release Date07/29/20,PlatformWindowsWindows,Windows 7 64-bit,2GB,11,GTX650 1GB VRAM,null,null,null,null,null
"Expeditions: Rome₹1,499",Expeditions: Rome,"₹1,499",RPGStrategy,Single Player,DeveloperLogic Artists,PublisherTHQ Nordic,Release Date01/20/22,PlatformWindowsWindows,"Windows 7, 10 (64-bit)",8 GB,11,AMD R9 380 4GB / GTX 960 4GB,30 GB,null,74%,81,Strong
"The Medium₹2,949",The Medium,"₹2,949",HorrorAdventure,Single Player,DeveloperBloober Team,PublisherBloober Team S.A.,Release Date01/28/21,PlatformWindowsWindows,Windows 10 (64bit version only),8,30,11,@1080p NVIDIA GeForce® GTX 1060 6GB / AMD Radeon™ R9 390X (or equivalent with 4 GB VRAM),null,63%,75,Strong
Chorus₹899,Chorus,₹899,ActionAdventure,Single Player,DeveloperDeep Silver Fishlabs,PublisherDeep Silver,Release Date12/03/21,PlatformWindowsWindows,Windows 10,8,36,12,Intel Iris Xe Graphics | GeForce GTX 750 | Radeon HD 7770,null,null,null,null
Legend of Keepers₹469,Legend of Keepers,₹469,IndieRPGStrategy,Controller SupportSingle Player,DeveloperGoblinz Studio,PublisherGoblinz Publishing,Release Date04/29/21,PlatformWindowsWindowsMac OSMac OS,Windows 7,2 GB,1 GB,DirectX 11 and/or OpenGL 3.3 compatible video card,null,null,null,null,null
DEMON'S TILT₹529,DEMON'S TILT,₹529,ActionHorror,Single Player,DeveloperWIZNWAR,PublisherFLARB LLC,Release Date05/10/21,Windows ,Windows 10,4 GB,1 GB,11,GTX 660 or Radeon 7970,null,null,null,null
The Flower Collectors₹469,The Flower Collectors,₹469,AdventureFirst PersonIndie,Single Player,DeveloperMi'pu'mi Games,PublisherMi'pu'mi Games,Release Date12/18/20,PlatformWindowsWindows,"64-bit processor and operating system: Windows 7SP1, 8, 8.1, 10",4 GB,1 GB,DirectX 11 compatible,NVIDIA GeForce GTX 460 2GB RAM,null,null,null,null
Backbone₹589,Backbone,₹589,AdventureIndie,Single Player,DeveloperEggNut,PublisherRaw Fury,Release Date06/08/21,PlatformWindowsWindows,Windows 7,4 GB,1 GB,Nvidia GTX 760 or equivalent,null,null,null,null,null
Pupperazzi₹469,Pupperazzi,₹469,CasualComedyFirst Person,Single Player,DeveloperSundae Month,PublisherKitfox Games,Release Date01/20/22,PlatformWindowsWindowsMac OSMac OS,Windows 7 or better,4 GB RAM,1 GB,10,Intel HD Graphics,null,54%,71,Fair
At Eve's Wake₹589,At Eve's Wake,₹589,HorrorNarration,Single Player,DeveloperSugar Rush Studios,PublisherSugar Rush Studios,Release Date10/26/21,PlatformWindowsWindows,Windows 10,4 GB RAM,1 GB,11,GeForce GTX 960,null,null,null,null
Golazo₹209,Golazo,₹209,Sports,Co-opSingle PlayerController Support,DeveloperPurple Tree,PublisherPurple Tree,Release Date03/31/21,PlatformWindowsWindows,7,4 GB RAM,1 GB,Version 9.0c,"1GB VRAM, DirectX® 9.0c Compatible - Intel HD 4400 / NVIDIA GeForce 9600GT / AMD Radeon HD 3850",null,null,null,null
Tom Clancy’s Splinter Cell Double Agent₹249,Tom Clancy’s Splinter Cell Double Agent,₹249,ActionStealth,null,DeveloperUbisoft Montreal,PublisherUbisoft,Release Date03/11/21,Windows ,Windows® XP,Compatible DirectX 9.0c with Shader 3.0 - 128 Mo,1 GB,DirectX 9.0c - compatible,8 GB,null,null,null,null
Alluris₹347,Alluris,₹347,RPGAdventureCard Game,Controller Support,Developer562 Interactive,Publisher562 Interactive,Release Date08/27/20,PlatformWindowsWindows,Windows 10,2 GB RAM,1 GB available space,10,NVIDIA GTX 650,null,null,null,null
ChromaGun₹309,ChromaGun,₹309,PuzzleFirst PersonIndie,Single Player,DeveloperPixel Maniacs,PublisherPixel Maniacs,Release Date11/03/21,Windows ,Windows Vista,2 GB RAM,1 GB available space,Direct X,null,null,33%,71,Fair
No Longer Home₹459,No Longer Home,₹459,CasualExplorationIndie,Single Player,DeveloperHumble Grove,PublisherFellow Traveller,Release Date07/30/21,PlatformWindowsWindowsMac OSMac OS,Windows 7 SP1,2 GB RAM,1 GB available space,Version 11,DirectX 11 compatible GPU,null,null,null,null
Warshmallows₹239,Warshmallows,₹239,ShooterIndie,Multiplayer,DeveloperYou Run Ltd,PublisherBonus Stage Publishing,Release Date01/06/22,Windows ,Windows 7,2 GB RAM,1 GB available space,Version 9,GeForce GTX 750 Ti,null,null,null,null
The Vale: Shadow of the Crown₹469,The Vale: Shadow of the Crown,₹469,ActionExplorationAdventure,Single PlayerController Support,DeveloperFalling Squirrel,PublisherFalling Squirrel,Release Date08/19/21,PlatformWindowsWindows,Windows 8,2 GB RAM,1 GB available space,Version 9,null,null,90%,82,Strong
Down in Bermuda₹469,Down in Bermuda,₹469,PuzzleAdventureIndie,null,DeveloperYak & Co,PublisherYak & Co,Release Date01/14/21,PlatformWindowsWindowsMac OSMac OS,Windows 7 64-bit,2 GB RAM,1 GB available space,Version 9.0c,1GB Shader Model 3.0 Compatible (DirectX 9.0c),null,null,null,null
A Monster's Expedition₹469,A Monster's Expedition,₹469,PuzzleAdventureIndie,Controller Support,DeveloperDraknek & Friends,PublisherDraknek & Friends,Release Date04/27/21,Windows ,Windows 7,2 GB RAM,1 GB available space,Version 9.0c,"256 MB NVidia or ATI graphics card, Intel HD Graphics 3000 or better",null,null,null,null
Wytchwood₹469,Wytchwood,₹469,SimulationAdventure,null,DeveloperAlientrap,PublisherWhitethorn Games,Release Date12/09/21,PlatformWindowsWindows,Windows 10,2 GB RAM,1 GB available space,Version 9.0c,"Geforce 9600 GS, Radeon HD4000, Shader Model 3.0, 512 MB",null,81%,80,Strong
Hundred Days - Winemaking Simulator₹589,Hundred Days - Winemaking Simulator,₹589,IndieSimulationStrategy,Single Player,DeveloperBroken Arms Games,PublisherBroken Arms Games,Release Date05/13/21,PlatformWindowsWindowsMac OSMac OS,Windows 7,4 GB RAM,1 GB available space,11,NVIDIA® GeForce® GT 600 or AMD Radeon™ equivalent,null,null,null,null
DISC ROOM₹595,DISC ROOM,₹595,ActionIndieAction-AdventureAdventure,Single Player,"DeveloperTerri, Dose, Kitty and JW",PublisherDevolver Digital,Release Date10/22/20,PlatformWindowsWindowsMac OSMac OS,"Windows 7, 8.1, 10 x64",4 GB RAM,1 GB available space,GeForce GT 730 (2048 MB),Gamepad Recommended,null,81%,83,Strong
Dandara: Trials of Fear Edition₹349,Dandara: Trials of Fear Edition,₹349,ActionPlatformer,null,DeveloperLong Hat House,PublisherRaw Fury,Release Date01/28/21,PlatformWindowsWindowsMac OSMac OS,Microsoft® Windows® XP,4 GB RAM,1 GB available space,Playing with a controller is strongly recommended.,null,null,null,null,null
FORECLOSED₹489,FORECLOSED,₹489,ActionRPGAdventure,Single Player,DeveloperAntab Studio,PublisherMerge Games Ltd.,Release Date08/12/21,PlatformWindowsWindows,Windows 10 or later,8 GB RAM,1 GB available space,Version 11,null,null,null,null,null
Legend of Grimrock₹349,Legend of Grimrock,₹349,RPGIndie,null,DeveloperAlmost Human Ltd.,PublisherAlmost Human Ltd.,Release Date10/25/21,Windows ,Windows XP Service Pack 3,2 GB RAM,1 GB HD space,null,ATI Radeon X1600 or NVIDIA GeForce 7600 or better (256MB graphics memory or more. Shader Model 3.0 needs to be supported),null,null,null,null
Saint Kotar₹589,Saint Kotar,₹589,NarrationHorrorIndie,Controller SupportSingle Player,DeveloperRed Martyr Entertainment,PublisherSOEDESCO,Release Date10/28/21,PlatformWindowsWindows,Windows 7 64-bit,2 GB RAM,1 GB RAM,DirectX 11,8 GB available space,"Text: Japanese, Korean, German, Italian, English, French, Chinese (Simplified), Chinese (Traditional), Polish, Portuguese, Russian, Turkish, Spanish (Spain), Spanish (Latin America)",null,null,null
